company,location,position,period,achievement_group,achievement_text,papers,patents,tags,weight
Arago,"Paris, France",AI for Chip Design,Nov 2025 - Present,,"Creating AI-based tools for accelerating mixed-signal integrated circuit design (analog and digital).",0,0,ai|eda|arago|current|public,100
Arago,"Paris, France",AI for Chip Design,Nov 2025 - Present,LLM-Driven Circuit Design Automation (AIMÉE),"Built circuit_explorer: FunSearch-inspired LLM exploration engine for analog/digital circuits. LLM generates Python circuit constructors, evaluated via ngspice/Optuna two-stage optimization. Supports Claude, OpenAI, HuggingFace, and local llama.cpp backends.",0,0,ai|llm|eda|analog|digital|python|arago|current|sensitive,99
Arago,"Paris, France",AI for Chip Design,Nov 2025 - Present,LLM-Driven Circuit Design Automation (AIMÉE),"Developed virtuoso_adapter: Python automation framework for Cadence Virtuoso with bidirectional SKILL bridge. Enables automated ADC characterization (ENOB/SFDR/SNR), waveform analysis (PSF to NumPy), and remote Spectre simulation.",0,0,eda|analog|cadence|python|arago|current|sensitive,95
Arago,"Paris, France",AI for Chip Design,Nov 2025 - Present,LLM-Driven Circuit Design Automation (AIMÉE),"Created ngspice_playground: Docker-based EDA environments with analog (NGSPICE + SKY130 PDK) and digital (Yosys + OpenROAD + ASAP7) toolchains, GPU-accelerated ML, and CI/CD automation.",0,0,eda|analog|digital|docker|python|arago|current|sensitive,90
Arago,"Paris, France",AI for Chip Design,Nov 2025 - Present,Memory Configuration Optimization,"Developed memcfg_opt: Bayesian optimization tool (Optuna) for ARM SRAM design. Multi-objective optimization (area, timing, power), 10-100x faster than grid search, with 1027+ tests and 95% coverage.",0,0,eda|optimization|python|arago|current|sensitive,85
Arago,"Paris, France",AI for Chip Design,Nov 2025 - Present,AI/ML Infrastructure & Tooling,"Built hf_quantizer: CLI tool for 4-bit model quantization using SINQ (Sinkhorn-Normalized Quantization) with automated HuggingFace Hub deployment and HumanEval verification.",0,0,ai|ml|llm|python|arago|current|sensitive,80
Arago,"Paris, France",AI for Chip Design,Nov 2025 - Present,AI/ML Infrastructure & Tooling,"Created mcp_kiwi: Model Context Protocol server connecting Claude to internal wiki (Outline), with LRU caching, rate limiting, YunoHost SSO, and full document/collection CRUD.",0,0,ai|llm|python|mcp|arago|current|sensitive,75
Arago,"Paris, France",AI for Chip Design,Nov 2025 - Present,AI/ML Infrastructure & Tooling,"Developed internal Claude Code plugin marketplace for team-wide AI tool distribution and management.",0,0,ai|llm|python|arago|current|sensitive,70
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,Team Leader,"Built and led a multidisciplinary team of experts to develop innovative solutions for reducing switching activity and power consumption in Huawei's GPUs.",0,0,leadership|gpu|management|huawei,100
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,ML for Chip Design,"Designed and developed GENIAL (github.com/huawei-csl/GENIAL): ML framework for iterative generation of multiplier circuits with reduced switching activity. Accepted at ASP-DAC 2026.",1,0,ai|ml|eda|digital|python|huawei,95
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,ML for Chip Design,"Built oss_eda_base (github.com/huawei-csl/oss_eda_base): Docker base image bundling open-source EDA tools (Yosys, ABC, Verilator) for reproducible synthesis pipelines on SLURM clusters.",0,0,eda|digital|docker|slurm|huawei,90
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,ML for Chip Design,"Proved that Network Inversion outperforms other state-of-the-art methods for design generation and design space exploration.",0,0,ai|ml|eda|research|huawei,85
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,ML for Chip Design,"Results: achieved up to 18% switching activity reduction in multipliers on AI workloads compared to conventional two's complement encoding.",1,0,ai|ml|eda|digital|huawei,80
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,ML for Advanced Synthesis,"Developed a predictor-driven Logic Synthesis Optimization framework achieving up to 21% QoR improvement and 14x faster execution.",2,0,ai|ml|eda|synthesis|huawei,75
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,Characterization of ML Workloads Acceleration,"Developed a simulation platform to accurately map (tiling and multi-core scheduling) tensor operations onto Huawei's Ascend Cube tensor accelerator.",0,0,ai|ml|gpu|simulation|huawei,70
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,Characterization of ML Workloads Acceleration,"Exploited the simulator to benchmark tensor reshaping and vector reordering strategies, proposing novel software-level optimizations that effectively reduce power consumption.",0,0,ai|ml|gpu|optimization|huawei,65
Huawei,"Zurich, Switzerland",AI & HW Research Scientist,May 2024 - Oct 2025,Conference Attendance,"2025 DAC, 2025 ICLAD.",0,0,conference|huawei,60
